i_event,id_x,id_y,id_z,v_x,v_y,v_z
129792,497.875,100.125,2,-61.991666666666674,-151.275,1
129793,497.5,100.5,2,-75.22727272727275,-181.95454545454544,1
129810,477.5,499.5,2,-26.0,95.0,1
129814,122.0,363.0,0,-104.75,17.5,1
129815,122.0,363.0,0,-543.0,346.5,1
129820,583.0,369.0,0,10.5,19.0,1
129821,583.0,368.8,0,10.5,18.950000000000003,1
129838,533.5,347.5,1,5.375,0.625,1
129839,533.4545454545455,347.45454545454544,1,5.3116883116883855,0.5974025974026063,1
129845,569.3,328.3,1,2.9363636363635806,3.7545454545454504,1
129846,569.3,328.3,1,2.9363636363635806,3.7545454545454504,1
129874,629.7142857142857,333.0,2,8.214285714285666,2.5,1
129875,629.6666666666666,333.0,2,8.121212121212125,2.454545454545439,1
129884,14.5,405.5,2,-80.0,41.0,1
129885,14.0,406.0,2,-80.5,41.5,1
129892,559.8666666666667,251.4,1,-49.34761904761899,153.1857142857143,1
129893,572.7272727272727,282.45454545454544,1,-40.96022727272725,187.14204545454544,1
129905,373.3636363636364,80.54545454545455,2,-15.636363636363626,19.83116883116883,1
129906,453.6,146.85,2,-27.76842105263154,-11.992105263157896,1
129907,551.6666666666666,227.88888888888889,2,3.1212121212121247,-2.4747474747474882,1
129910,503.5,404.5,1,-4.5,63.5,1
129915,665.0,16.5,2,23.0,-34.5,1
129916,665.0,16.5,2,23.0,-34.5,1
129935,549.8,237.5,2,0.7999999999999545,-0.5,1
129938,528.125,346.875,0,-3.21875,13.46875,1
129939,528.1428571428571,346.85714285714283,0,-3.2142857142857224,13.464285714285708,1
129945,566.3636363636364,324.54545454545456,0,6.3409090909090935,7.88636363636364,1
129946,566.3636363636364,324.54545454545456,0,6.3409090909090935,7.88636363636364,1
129952,468.5,372.72222222222223,2,-3.847826086956502,3.3743961352657266,1
129953,460.0,321.25,2,-35.0,-45.958333333333314,1
129959,574.0,329.0,2,3.0,-1.0,1
129974,621.5,330.5,1,88.43333333333328,-49.833333333333314,1
129975,621.5454545454545,330.54545454545456,1,89.23776223776224,-50.30069930069931,1
129984,94.5,364.5,1,-79.0,47.0,1
129985,94.5,364.5,1,-79.0,47.5,1
129992,609.2142857142857,98.21428571428571,0,17.053571428571416,-48.69642857142857,1
129993,613.6875,95.3125,0,18.171875,-49.421875,1
130005,389.0,60.714285714285715,1,-18.5,24.214285714285715,1
130006,481.36842105263156,158.8421052631579,1,-28.1649122807018,-21.69122807017544,1
130007,548.5454545454545,230.36363636363637,1,1.909090909090878,-2.5454545454545325,1
130008,213.0,231.0,1,-82.0,-15.5,1
130009,487.5,374.5,2,-4.0,13.699999999999989,1
130010,508.0,341.0,2,16.538461538461547,-19.846153846153868,1
130015,642.0,51.0,1,20.0,-35.0,1
130016,642.0,51.0,1,20.0,-35.0,1
130035,549.0,238.0,1,-11.78947368421052,-26.94736842105266,1
130036,550.0,237.5,1,-23.5,-57.0,1
130052,472.3478260869565,369.3478260869565,1,-2.173913043478308,13.956521739130437,1
130053,495.0,367.2083333333333,2,-33.799999999999955,1.5083333333333258,1
130054,539.0,357.0,2,-1.25,1.25,1
130059,571.0,330.0,1,2.125,-1.125,1
130074,533.0666666666667,380.3333333333333,0,-1.98333333333332,21.83333333333333,1
130075,532.3076923076923,380.84615384615387,0,-2.173076923076934,21.961538461538467,1
130083,660.0,205.0,2,52.77272727272725,-40.81818181818181,1
130084,173.5,317.5,0,-91.875,6.125,1
130085,173.5,317.0,0,-91.875,6.0,1
130094,464.25,135.625,2,-8.113636363636374,38.17045454545455,1
130095,464.3636363636364,135.54545454545453,2,-8.0,38.09090909090908,1
130101,533.4,384.8,2,20.73333333333335,40.133333333333326,1
130105,407.5,36.5,0,-33.375,-64.125,1
130106,509.53333333333336,180.53333333333333,0,-7.86666666666666,-28.116666666666667,1
130107,546.6363636363636,232.9090909090909,0,1.4090909090909065,-15.022727272727273,1
130109,491.5,360.8,1,-4.318181818181813,15.618181818181824,1
130110,491.46153846153845,360.84615384615387,1,-4.35664335664336,15.664335664335681,1
130115,622.0,86.0,0,96.5,-405.2857142857143,1
130116,622.0,86.0,0,61.22222222222217,-289.0,1
130128,520.3636363636364,285.45454545454544,2,3.363636363636374,0.45454545454543904,1
130129,520.3636363636364,285.45454545454544,2,3.363636363636374,0.45454545454543904,1
130135,560.7894736842105,264.94736842105266,2,-11.21052631578948,-28.05263157894734,1
130136,573.5,294.5,2,1.5,1.5,1
130152,474.5217391304348,355.39130434782606,0,-16.619565217391298,15.597826086956516,1
130153,528.8,365.7,1,-12.0,11.199999999999989,1
130154,540.25,355.75,1,-0.1875,15.6875,1
130159,568.875,331.125,0,6.96875,9.53125,1
130176,19.5,71.0,1,-38.0,-10.0,1
130177,19.5,71.0,1,-38.0,-10.0,1
130183,607.2272727272727,245.8181818181818,2,19.727272727272748,8.818181818181813,1
130191,527.5,481.5,2,-11.409090909090878,16.136363636363626,1
130194,472.3636363636364,97.45454545454545,1,-11.511363636363626,39.32954545454545,1
130195,472.3636363636364,97.45454545454545,1,-11.511363636363626,39.32954545454545,1
130201,512.6666666666666,344.6666666666667,1,20.54166666666663,40.791666666666686,1
130209,495.8181818181818,345.1818181818182,0,-47.18181818181819,3.181818181818187,1
130210,495.8181818181818,345.1818181818182,0,-11.295454545454547,13.045454545454547,1
130215,525.5,491.2857142857143,2,2.454545454545496,113.60389610389609,1
130216,560.7777777777778,375.0,2,5.444444444444457,-2.6666666666666856,1
130228,517.0,285.0,1,2.7142857142856656,1.0,1
130229,517.0,285.0,1,2.7142857142856656,1.0,1
130235,572.0,293.0,1,1.5,0.5,1
130236,572.0,293.0,1,2.5,0.5,1
130253,540.8,354.5,0,-0.05000000000001137,15.375,1
130276,57.5,81.0,0,-120.875,-53.0,1
130277,57.5,81.0,0,-120.875,-53.0,1
130283,587.5,237.0,1,0.6111111111110858,-72.66666666666669,1
130291,538.9090909090909,465.3636363636364,1,-0.1861471861471955,118.2683982683983,1
130294,483.875,58.125,0,-14.28125,-58.71875,1
130295,483.875,58.125,0,-14.28125,-58.71875,1
130301,492.125,303.875,0,-12.21875,2.71875,1
130309,543.0,342.0,2,0.7999999999999545,4.5,1
130315,523.0454545454545,377.6818181818182,2,1.3063241106718806,28.638339920948624,1
130316,555.3333333333334,377.6666666666667,1,-6.666666666666629,36.90196078431376,1
130328,514.2857142857143,284.0,0,-6.678571428571416,-2.25,1
130329,514.2857142857143,284.0,0,-6.678571428571416,-2.25,1
130335,570.5,292.5,0,7.375,-0.125,1
130336,569.5,292.5,0,7.125,-0.125,1
130345,584.125,314.125,2,4.125,-0.07499999999998863,1
130370,565.5,302.5,2,5.625,-0.375,1
130383,586.8888888888889,309.6666666666667,0,11.472222222222229,4.166666666666671,1
130390,541.0,447.0,0,0.0,38.5,1
130391,539.0952380952381,347.0952380952381,2,4.633699633699621,66.2490842490842,1
130392,537.7142857142857,285.5,2,3.1809523809523625,4.633333333333326,1
130408,532.0,265.0,2,2.909090909090878,2.363636363636374,1
130409,542.2,337.5,1,5.283333333333417,28.0,1
130410,543.0,337.0,1,0.5,11.0,1
130415,521.7391304347826,349.04347826086956,1,13.096273291925456,96.82919254658384,1
130416,562.0,340.7647058823529,0,5.25,11.941176470588232,1
130421,575.6,266.7,2,4.963636363636397,0.6090909090909236,1
130422,575.5555555555555,266.6666666666667,2,5.305555555555543,0.5416666666666856,1
130445,580.0,314.2,1,4.666666666666629,-0.716666666666697,1
130470,559.875,302.875,1,5.490384615384642,-1.5096153846153584,1
130491,534.4615384615385,280.84615384615387,1,2.961538461538453,4.846153846153868,1
130492,534.5333333333333,280.8666666666667,1,3.033333333333303,4.366666666666674,1
130508,529.0909090909091,262.6363636363636,1,2.590909090909122,2.136363636363626,1
130509,536.9166666666666,309.5,1,-1.0208333333333428,4.125,1
130515,508.64285714285717,252.21428571428572,0,-8.089285714285708,-10.19642857142857,1
130521,570.6363636363636,266.09090909090907,1,4.52525252525254,1.7575757575757507,1
130522,570.25,266.125,1,4.25,2.125,1
130534,607.5,280.5,2,4.785714285714334,2.0,1
130535,608.0,279.3333333333333,2,5.2000000000000455,0.8333333333333144,1
130545,575.3333333333334,314.9166666666667,0,8.583333333333343,5.479166666666671,1
130570,554.3846153846154,304.38461538461536,0,3.3461538461538396,2.8461538461538396,1
130591,531.5,276.0,0,-2.375,-4.25,1
130592,531.5,276.5,0,-2.375,-4.125,1
130608,526.5,260.5,0,-3.625,-8.125,1
130621,566.1111111111111,264.3333333333333,0,6.2777777777777715,-7.166666666666671,1
130622,566.0,264.0,0,6.25,-7.25,1
130634,602.7142857142857,278.5,1,3.6031746031745797,0.38888888888891415,1
130635,602.8,278.5,1,3.1333333333333258,0.16666666666668561,1
130639,971.3333333333334,510.6666666666667,1,72.33333333333337,46.166666666666686,1
130640,971.3333333333334,510.6666666666667,1,72.33333333333337,46.166666666666686,1
130643,855.0,219.28571428571428,2,41.0,-7.214285714285722,1
130644,854.8888888888889,219.33333333333334,2,40.68888888888887,-7.166666666666657,1
130666,369.2307692307692,309.15384615384613,2,-18.069230769230785,6.453846153846143,1
130667,369.1666666666667,309.1666666666667,2,-17.958333333333314,6.291666666666686,1
130688,585.0,319.5,2,2.125,4.625,1
130689,585.0,319.5,2,2.125,4.625,1
130715,438.5,186.0,2,15.0,-2.5,1
130716,438.5,186.0,2,-38.0,8.071428571428584,1
130734,599.1111111111111,278.1111111111111,0,14.527777777777771,-3.7222222222222285,1
130735,599.6666666666666,278.3333333333333,0,14.666666666666657,-3.6666666666666714,1
130739,899.0,464.5,0,89.5,42.875,1
130740,899.0,464.5,0,89.5,42.875,1
130743,814.0,226.5,1,39.5,-10.5,1
130744,814.2,226.5,1,39.700000000000045,-10.300000000000011,1
130766,387.3,302.7,1,-17.82499999999999,8.574999999999989,1
130767,387.125,302.875,1,-18.017857142857167,8.732142857142833,1
130777,523.4545454545455,303.6363636363636,2,1.1688311688311614,1.636363636363626,1
130778,59.25,341.6666666666667,2,-59.90384615384616,3.205128205128233,1
130779,59.27272727272727,341.6363636363636,2,-59.909090909090914,3.181818181818187,1
130788,582.875,314.875,1,1.75,4.0,1
130789,582.875,314.875,1,1.75,4.0,1
130815,423.5,188.5,1,12.0,-0.5,1
130816,476.5,177.92857142857142,2,16.166666666666686,-13.071428571428584,1
130817,500.6666666666667,215.52380952380952,2,3.087719298245645,-5.476190476190482,1
130818,503.3636363636364,253.54545454545453,2,0.48863636363637397,0.9204545454545325,1
130843,774.5,237.0,0,58.375,-14.0,1
130844,774.5,236.8,0,58.375,-14.049999999999997,1
130864,269.5,250.0,2,-56.0,33.5,1
130866,405.125,294.125,0,-33.96875,0.28125,1
